track_id,genres,track_artists,tempo,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,name
6D5pfooPP6hi99RaXjkDsP,"['art pop', 'pop']",Lana Del Rey,126.044,0.813,1.0,0.0,0.0,4.0,0.0581,0.567,0.114,0.0138,0.125,9.03e-06,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix
7CzxXgQXurKZCyHz9ufbo1,['pop'],Taylor Swift,143.964,0.934,8.0,57.0,1.0,4.0,0.0646,0.563,0.518,0.00452,0.103,0.000807,I'm Only Me When I'm With You
1hJXpII24ReABFg8Ig6k7w,"['brooklyn indie', 'pov: indie']",Mitski,75.663,0.203,11.0,67.0,1.0,3.0,0.0396,0.287,0.238,0.835,0.128,0.0,Abbey
0IpbLjg5HE1Ju4k1rhYqvp,"['k-pop', 'k-pop boy group', 'pop']",BTS,113.977,0.683,4.0,0.0,1.0,4.0,0.0398,0.653,0.534,0.36,0.324,1e-06,Dynamite - Slow Jam Remix
3bIxTsfeNMO7Nt2J3EUKrA,['pop'],Taylor Swift,104.007,0.729,7.0,55.0,1.0,4.0,0.0378,0.658,0.668,0.00215,0.0752,0.0013,22
1QQii3pa5m8MEda0nbkjfw,['pop'],Taylor Swift,125.977,0.345,4.0,64.0,1.0,4.0,0.144,0.661,0.126,0.545,0.0871,0.000915,Mastermind
6aHCXTCkPiB4zgXKpB7BHS,"['k-pop', 'k-pop boy group', 'pop']",BTS,121.972,0.761,5.0,0.0,0.0,4.0,0.0897,0.761,0.483,0.246,0.103,0.0,Trivia 承 : Love
3kR1DF3AAFCzOtzMIErJ4H,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,88.866,0.445,8.0,44.0,1.0,4.0,0.0292,0.503,0.382,0.163,0.111,0.000475,Foreigner's God
0mt02gJ425Xjm7c3jYkOBn,"['art pop', 'pop']",Lana Del Rey,99.982,0.655,0.0,73.0,0.0,4.0,0.0542,0.504,0.262,0.604,0.364,0.00193,Lust For Life (with The Weeknd)
6IIcLzR05sN1gk4ngzz7Kk,"['art pop', 'metropopolis', 'nz pop', 'pop']",Lorde,124.852,0.437,0.0,0.0,1.0,4.0,0.052,0.562,0.15,0.219,0.0806,2.18e-05,Supercut
6rXvxz68x3FqXSdUabupFl,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,92.644,0.638,4.0,48.0,1.0,4.0,0.0545,0.377,0.369,0.213,0.12,7.97e-05,Angel Of Small Death & The Codeine Scene
6OqrJqDMu15AGJHJazg9Nr,"['dance pop', 'pop', 'uk pop']",Dua Lipa,102.977,0.825,6.0,0.0,0.0,4.0,0.0601,0.702,0.915,0.00883,0.0674,0.0,Levitating (feat. DaBaby)
2vfgmmnUDkZNs75AJm7lev,"['k-pop', 'k-pop boy group', 'pop']",Stray Kids,98.026,0.814,4.0,53.0,0.0,4.0,0.0793,0.772,0.531,0.0179,0.0808,0.0,Question
5Pkn31exSVgFbfDAH961QC,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,98.062,0.426,6.0,56.0,0.0,3.0,0.0295,0.354,0.185,0.782,0.115,0.11,In the Woods Somewhere
38td8VabuKlQt72Q2VnhbO,"['k-pop', 'k-pop boy group', 'pop']",BTS,106.022,0.688,11.0,0.0,0.0,4.0,0.0543,0.664,0.65,0.153,0.173,9.14e-05,134340
4lXHVnmDO5u62tGJIpTafd,"['art pop', 'pop']",Lana Del Rey,65.627,0.589,6.0,56.0,1.0,4.0,0.0359,0.382,0.511,0.484,0.131,0.0,Million Dollar Man
